Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
Puja Transport,Non AC Seater (2+2),Tezpur,Dibrugarh,550,Tezpur,Dibrugarh,16 Seats available,20:00,05:00,09h 00m,2.4,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh?fromCityId=90883&toCityId=79598&fromCityName=Tezpur&toCityName=Dibrugarh&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Neha Travels,NON A/C Seater (2+2),Tezpur,Dibrugarh,650,Tezpur (Mission Chariali),Dibrugarh,35 Seats available,22:20,07:00,08h 40m,2.1,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh?fromCityId=90883&toCityId=79598&fromCityName=Tezpur&toCityName=Dibrugarh&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),Dibrugarh,Tezpur,550,Dibrugarh,Tezpur,7 Seats available,19:45,04:00,08h 15m,3.2,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur?fromCityId=79598&toCityId=90883&fromCityName=Dibrugarh&toCityName=Tezpur&busType=Any&onward=31-Aug-2024
Puja Transport,NON AC Seater / Sleeper 2+1,Dibrugarh,Tezpur,550,Dibrugarh,Tezpur,10 Seats available,20:00,05:00,09h 00m,3.3,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur?fromCityId=79598&toCityId=90883&fromCityName=Dibrugarh&toCityName=Tezpur&busType=Any&onward=31-Aug-2024
RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),Guwahati,Biswanath Charali,400,ISBT Guwahati,Biswanath Charali Bus Stop (B...,33 Seats available,19:15,02:00,06h 45m,4.6,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali?fromCityId=74701&toCityId=93697&fromCityName=Guwahati&toCityName=Biswanath%20Charali&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
PARIJAT TRAVELS(UNDER ASTC),NON A/C Seater (2+1),Guwahati,Biswanath Charali,375,ISBT Guwahati,Biswanath Charali Bus Stop,16 Seats available,19:35,02:00,06h 25m,3.8,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali?fromCityId=74701&toCityId=93697&fromCityName=Guwahati&toCityName=Biswanath%20Charali&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Yatra Travels,NON AC Seater/ Sleeper (2+1),Guwahati,Biswanath Charali,400,ISBT Guwahati,BISWANATH CHARALI BUS STOP,15 Seats available,20:00,01:00,05h 00m,3.9,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali?fromCityId=74701&toCityId=93697&fromCityName=Guwahati&toCityName=Biswanath%20Charali&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),Guwahati,Biswanath Charali,550,ISBT Guwahati,Biswanath Charali,14 Seats available,20:45,03:30,06h 45m,3.7,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali?fromCityId=74701&toCityId=93697&fromCityName=Guwahati&toCityName=Biswanath%20Charali&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
,,Guwahati,Biswanath Charali,,,,,,,,,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali?fromCityId=74701&toCityId=93697&fromCityName=Guwahati&toCityName=Biswanath%20Charali&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
NETWORK TRAVELS,NON A/C Seater (2+1),Guwahati,Haflong,600,ISBT Guwahati,Haflong,7 Seats available,19:30,07:00,11h 30m,4.4,https://www.redbus.in/bus-tickets/guwahati-to-haflong?fromCityId=74701&toCityId=93843&fromCityName=Guwahati&toCityName=Haflong&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Deep Travels,Non AC Seater (2+1),Guwahati,Haflong,599,ISBT Guwahati,Haflong Bus Stand,23 Seats available,19:30,06:30,11h 00m,3.7,https://www.redbus.in/bus-tickets/guwahati-to-haflong?fromCityId=74701&toCityId=93843&fromCityName=Guwahati&toCityName=Haflong&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Air Bus Travels,NON AC Seater / Sleeper 2+1,Dibrugarh,North Lakhimpur,400,Dibrugarh Amolapatty,Bus stand,27 Seats available,19:40,01:00,05h 20m,3.6,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur?fromCityId=79598&toCityId=75845&fromCityName=Dibrugarh&toCityName=North%20Lakhimpur&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Air Bus Travels,NON AC Seater / Sleeper 2+1,Dibrugarh,North Lakhimpur,400,Dibrugarh Amolapatty,Bus stand,19 Seats available,21:15,02:00,04h 45m,2.5,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur?fromCityId=79598&toCityId=75845&fromCityName=Dibrugarh&toCityName=North%20Lakhimpur&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Deep Travels,Non AC Seater (2+1),Nagaon (Assam),Haflong,500,Nagaon Bypass,Haflong Bus Stand,23 Seats available,23:55,06:30,06h 35m,1.9,https://www.redbus.in/bus-tickets/nagaon-to-haflong?fromCityId=91032&toCityId=93843&fromCityName=Nagaon%20(Assam)&toCityName=Haflong&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Neha Travels,NON A/C Seater (2+2),Tezpur,Moran,650,Tezpur (Mission Chariali),Moran (Bus Stand),35 Seats available,22:10,03:30,05h 20m,1.9,https://www.redbus.in/bus-tickets/tezpur-to-moran?fromCityId=90883&toCityId=79593&fromCityName=Tezpur&toCityName=Moran&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),Tezpur,Moran,500,Tezpur,Moran,26 Seats available,21:30,03:00,05h 30m,Not available,https://www.redbus.in/bus-tickets/tezpur-to-moran?fromCityId=90883&toCityId=79593&fromCityName=Tezpur&toCityName=Moran&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Maa Laxmi,NON A/C Seater Push Back (2+1),Tezpur,Moran,500,Mission Chariali,Moran,36 Seats available,22:15,05:00,06h 45m,1.8,https://www.redbus.in/bus-tickets/tezpur-to-moran?fromCityId=90883&toCityId=79593&fromCityName=Tezpur&toCityName=Moran&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Neha Travels,NON A/C Seater (2+2),Tezpur,Moran,650,Tezpur (Mission Chariali),Moran (Bus Stand),35 Seats available,22:20,06:00,07h 40m,1.9,https://www.redbus.in/bus-tickets/tezpur-to-moran?fromCityId=90883&toCityId=79593&fromCityName=Tezpur&toCityName=Moran&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Trishul Transport Service,A/C Seater / Sleeper (2+1),Dibrugarh,Jorhat,495,AMC Bus Stop,Jorhat-Baruah Charilai,21 Seats available,19:15,22:55,03h 40m,3.7,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat?fromCityId=79598&toCityId=75814&fromCityName=Dibrugarh&toCityName=Jorhat&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Baikuntha Transport Service,Bharat Benz A/C Seater /Sleeper (2+1),Dibrugarh,Jorhat,400,University Bus Stop (Dibrugarh),Jorhat-Baruah Chariali (Jorhat),41 Seats available,19:30,23:15,03h 45m,3.2,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat?fromCityId=79598&toCityId=75814&fromCityName=Dibrugarh&toCityName=Jorhat&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Purple Wings Coaches,A/C Seater / Sleeper (2+1),Dibrugarh,Jorhat,540,AMC Bus Stop,Bypass,21 Seats available,19:55,00:15,04h 20m,3.6,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat?fromCityId=79598&toCityId=75814&fromCityName=Dibrugarh&toCityName=Jorhat&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
SEEMA TRAVELS,A/C Seater (2+2),Guwahati,Silchar,750,Khanapara,Silchar-ISBT,13 Seats available,19:30,05:30,10h 00m,1.0,https://www.redbus.in/bus-tickets/guwahati-to-silchar?fromCityId=74701&toCityId=91002&fromCityName=Guwahati&toCityName=Silchar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
