Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
Bengal Surface Transport,A/C Seater Push Back (2+3),Kolkata,Digha,419,Esplanade,New Digha Bus Stand,21 Seats available,23:20,04:30,05h 10m,2.6,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Mayuri Express,AC Seater (2+2),Kolkata,Digha,320,Esplanade,Bus Stand,27 Seats available,23:15,04:30,05h 15m,4.2,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Friends Travels,A/C Seater (2+2),Kolkata,Digha,350,Esplanade,old digha bus stand,24 Seats available,23:45,05:30,05h 45m,2.8,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Anadi Travels (Disha Gold),A/C Seater Push Back (2+3),Kolkata,Digha,500,Esplanade,Old DighaBus Stand,60 Seats available,23:00,04:40,05h 40m,1.0,https://www.redbus.in/bus-tickets/kolkata-to-digha?fromCityId=74820&toCityId=74706&fromCityName=Kolkata&toCityName=Digha&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
City Express (Shinjini),AC Seater (2+3),Digha,Kolkata,320,Bus Stand,Esplanade,26 Seats available,22:45,04:10,05h 25m,3.8,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Satya Paribahan,A/C Seater (2+3),Digha,Kolkata,342,Digha,Esplanade,16 Seats available,23:00,03:45,04h 45m,2.9,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Snemita Paribahan(Shinjini),A/C Seater (2+3),Digha,Kolkata,320,Bus Stand,Esplanade,23 Seats available,22:45,04:10,05h 25m,2.9,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Parameswar Travels,A/C Seater Push Back (2+3),Digha,Kolkata,285,New Digha,Esplanade,19 Seats available,20:00,01:35,05h 35m,3.4,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Snemita Paribahan (Shinjini),AC Seater (2+3),Digha,Kolkata,420,Bus Stand,Esplanade,22 Seats available,23:35,03:45,04h 10m,2.6,https://www.redbus.in/bus-tickets/digha-to-kolkata?fromCityId=74706&toCityId=74820&fromCityName=Digha&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),Kolkata,Durgapur (West B...,486,Dankoni,City Center Durgapur,37 Seats available,19:30,22:25,03h 05m,4.5,https://www.redbus.in/bus-tickets/kolkata-to-durgapur?fromCityId=74820&toCityId=69802&fromCityName=Kolkata&toCityName=Durgapur%20(West%20Bengal)&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Royal Cruiser,Volvo A/C Seater (2+2),Kolkata,Durgapur (West B...,475,Esplanade,City Centre,30 Seats available,19:30,23:15,03h 45m,3.5,https://www.redbus.in/bus-tickets/kolkata-to-durgapur?fromCityId=74820&toCityId=69802&fromCityName=Kolkata&toCityName=Durgapur%20(West%20Bengal)&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
